ticker,period,preferred_liquidation_preference
MFA,2019-12-31,200000000.0
MFA,2020-03-31,475000000.0
MFA,2020-06-30,475000000.0
MFA,2020-09-30,475000000.0
MFA,2020-12-31,475000000.0
MFA,2021-03-31,475000000.0
MFA,2021-06-30,475000000.0
MFA,2021-09-30,475000000.0
MFA,2021-12-31,475000000.0
MFA,2022-03-31,475000000.0
MFA,2022-06-30,475000000.0
MFA,2022-09-30,475000000.0
MFA,2022-12-31,475000000.0
MFA,2023-03-31,475000000.0
MFA,2023-06-30,475000000.0
MFA,2023-09-30,475000000.0
MFA,2023-12-31,475000000.0
MFA,2024-03-31,475000000.0
MFA,2024-06-30,475000000.0
MFA,2024-09-30,475000000.0
MFA,2024-12-31,475000000.0
MFA,2025-03-31,475000000.0
MFA,2025-06-30,475000000.0
MFA,2025-09-30,479866000.0
MFA,2025-12-31,485280000.0
