ticker,period,leverage,financing_rate,net_interest_margin,swap_notional,unrestricted_cash,common_pref_equity_ratio,buybacks,issuance,common_equity,preferred_equity,total_liabilities
ADAM,2021-03-31,,,2.02,,4726174.0,,,,,,
ADAM,2021-06-30,,,2.57,,4780927.0,,,96267.0,,,
ADAM,2021-09-30,,,2.86,,408785.0,,,96267.0,,,
ADAM,2021-12-31,0.4,,3.07,,452.0,,,96267.0,,,
ADAM,2022-03-31,0.5,,3.87,,303762.0,,,508819.0,,,
ADAM,2022-06-30,0.7,,3.48,,407104.0,,,96267.0,,,
ADAM,2022-09-30,0.5,,2.18,,355276.0,,,96267.0,,,
ADAM,2022-12-31,0.3,,2.47,,21129.0,,,96267.0,,,
ADAM,2023-03-31,0.4,,0.41,,227753.0,,,508819.0,,,
ADAM,2023-06-30,0.7,,0.48,,232497.0,,,508819.0,,,
ADAM,2023-09-30,1.3,,0.9,,228333.0,,,741720.0,,,
ADAM,2023-12-31,1.6,,0.74,,1300.0,,,96267.0,,,
ADAM,2024-03-31,1.7,,1.31,,226939.0,,,500543.0,,,
ADAM,2024-06-30,1.6,,1.33,,235514.0,,,60000.0,,,
ADAM,2024-09-30,1.6,,1.32,,195066.0,,,60000.0,,,
ADAM,2024-12-31,,,1.33,,392.0,,,60000.0,,,
ADAM,2025-03-31,3.0,,1.32,,177072.0,,,82500.0,,,
ADAM,2025-06-30,3.0,,1.5,,160447.0,,,82140.0,,,
ADAM,2025-09-30,3.0,,1.5,,185285.0,,,193505.0,,,
ADAM,2025-12-31,3.0,,1.46,,284.0,,,193505.0,,,
AGNC,2021-03-31,8.0,0.02,2.0,31.0,963.0,,-15.0,26.7,,,
AGNC,2021-06-30,7.6,0.06,2.09,30.0,947.0,,-12.2,26.7,,,
AGNC,2021-09-30,7.5,0.03,2.19,30.0,981.0,,-10.3,26.7,,,
AGNC,2021-12-31,7.7,0.01,2.11,48634.0,998.0,,-6.9,11.4,,,
AGNC,2022-03-31,7.8,0.09,2.19,31.0,1004.0,,-15.0,,,,
AGNC,2022-06-30,7.8,0.18,2.7,30.0,906.0,,-4.7,4.1,,,
AGNC,2022-09-30,8.1,0.5,2.81,30.0,976.0,,-15.0,28.6,,,
AGNC,2022-12-31,7.8,0.4,2.6,49334.0,1018.0,,-28.2,26.7,,,
AGNC,2023-03-31,7.7,1.02,2.88,31.0,975.0,,,17.1,,,
AGNC,2023-06-30,7.2,0.63,3.26,30.0,716.0,,-4.7,4.1,,,
AGNC,2023-09-30,7.5,1.17,3.03,30.0,493.0,,-4.7,28.6,,,
AGNC,2023-12-31,7.4,1.05,3.06,47012.0,518.0,,-17.7,56.0,,,
AGNC,2024-03-31,7.0,1.58,2.98,43903.0,505.0,,,17.1,,,
AGNC,2024-06-30,7.2,2.0,2.69,45263.0,530.0,,,10.7,,,
AGNC,2024-09-30,7.2,2.52,2.21,44781.0,507.0,,,44.7,,,
AGNC,2024-12-31,7.2,2.28,2.42,43351.0,505.0,,-4.7,56.0,,,
AGNC,2025-03-31,7.3,2.75,2.12,44179.0,455.0,,,25.1,,,
AGNC,2025-06-30,7.5,2.86,2.01,45849.0,656.0,,,45.8,,,
AGNC,2025-09-30,7.5,3.17,1.78,45656.0,450.0,,,78.1,,,
AGNC,2025-12-31,7.4,2.98,1.92,48921.0,450.0,,,118.8,,,
ARR,2021-03-31,,,,,,,,4400.0,,,
ARR,2021-06-30,,,,,,,,17691.0,,,
ARR,2021-09-30,,,,,,,,22242.0,,,
ARR,2021-12-31,,,,,,,,16064.0,,,
ARR,2022-03-31,,,,,,,,6162.0,,,
ARR,2022-06-30,,,,,,,,16587.0,,,
ARR,2022-09-30,,,,,,,,4551.0,,,
ARR,2022-12-31,,,,,,,,6287.0,,,
ARR,2023-03-31,,,,,,,,6162.0,,,
ARR,2023-06-30,,,,,,,,10425.0,,,
ARR,2023-09-30,,,,,,,,4546.0,,,
ARR,2023-12-31,,,0.47,,435113.0,,,5726.0,,,
ARR,2024-03-31,,,0.47,,221297.0,,,5973.0,,,
ARR,2024-06-30,,,0.52,,126562.0,,,3032.0,,,
ARR,2024-09-30,,,0.62,,63855.0,,,7630.0,,,
ARR,2024-12-31,,,0.43,,540056.0,,,14008.0,,,
