# Selected fundamentals from SEC EDGAR XBRL (sparse by ticker)
ticker,period,leverage,financing_rate,net_interest_margin,swap_notional,unrestricted_cash,common_pref_equity_ratio,buybacks,issuance,preferred_issuance,common_equity,preferred_equity,total_liabilities
AGNC,2008-12-31,,,,650000000,56012000,,,,,,,
AGNC,2009-12-31,,,,2050000000,203000000,,,221596000,,,,
AGNC,2010-03-31,,,,2350000000,105264000,,,62138000,,,,
AGNC,2010-05-31,,,,,,,,169000000,,,,
AGNC,2010-06-30,,,,3000000000,150081000,,,231111000,,,,
AGNC,2010-09-30,,,,,115266000,,,373184000,,,,
AGNC,2010-10-31,,,,,,,,328000000,,,,
AGNC,2010-12-31,7.425360457724094,,,6450000000,173000000,,0,1055000000,0,1573000000,0,12903765000
AGNC,2011-01-31,,,,,,,,719000000,,,,
AGNC,2011-03-31,6.57617952573493,,,14950000000,301000000,,,892000000,,,,25810462000
AGNC,2011-06-30,3.667375437828371,,,22000000000,626000000,,,1369000000,0,,,38859924000
AGNC,2011-09-30,7.862268473536594,,,0,984000000,,,3268000000,,4940256000,0,42099173000
AGNC,2011-11-30,,,,,,,,1108000000,,,,
AGNC,2011-12-31,7.675627817128139,,,0,1367000000,,0,4377000000,0,6212000000,0,51760000000
AGNC,2012-03-31,8.008258774948382,,,14950000000,1762000000,,,2063000000,,8718000000,0,79699000000
AGNC,2012-04-30,,,,,,,,,167000000,,,
AGNC,2012-06-30,7.611646234676007,,,,2099000000,53.706586826347305,0,2360000000,167000000,8969000000,167000000,75646000000
AGNC,2012-07-31,,,,,,,,1240000000,,,,
AGNC,2012-09-30,7.030426683225405,,,,2569000000,66.50299401197604,0,3600000000,167000000,11106000000,167000000,90904000000
AGNC,2012-12-31,6.835352422907489,0.0369,,,2430000000,64.24550898203593,77000000,3601000000,167000000,10729000000,167000000,89557000000
AGNC,2013-03-31,5.69146194811888,,,,2826000000,68.7125748502994,0,1802000000,,11475000000,167000000,81727000000
AGNC,2013-06-30,7.047762645914397,,,,2923000000,60.55688622754491,7000000,1803000000,0,10113000000,167000000,88383000000
AGNC,2013-09-30,8.343247344461306,,,,2129000000,58.191616766467064,270000000,1803000000,0,9718000000,167000000,87386000000
AGNC,2013-12-31,7.305162699781534,0.0358,,,2143000000,51.07784431137725,856000000,1803000000,0,8530000000,167000000,67558000000
AGNC,2014-03-31,5.642046743816655,0.0365,,,1726000000,51.778443113772454,74000000,0,,8647000000,167000000,58504000000
AGNC,2014-06-30,5.068567266673603,0.0363,,,1747000000,27.604166666666668,74000000,0,169000000,9275000000,336000000,57243000000
AGNC,2014-09-30,4.844180827188201,0.0365,,,1708000000,26.848214285714285,74000000,0,169000000,9021000000,336000000,52991000000
AGNC,2014-12-31,5.33474756045821,0.0365,,,1720000000,27.05952380952381,74000000,0,169000000,9092000000,336000000,58338000000
AGNC,2015-03-31,6.211201368106028,0.0358,,,1708000000,26.845238095238095,0,,,9020000000,336000000,63749000000
AGNC,2015-06-30,5.755677907777013,0.0362,,,1510000000,24.946428571428573,79000000,,0,8382000000,336000000,54167000000
AGNC,2015-09-30,5.145402082549241,0.0361,,,1505000000,22.723214285714285,124000000,,0,7635000000,336000000,52293000000
AGNC,2015-12-31,5.2382386149793,0.0363,,,1110000000,22.723214285714285,285000000,0,0,7635000000,336000000,49050000000
AGNC,2016-03-31,5.910704960835509,0.0363,,,1109000000,21.797619047619047,116000000,,,7324000000,336000000,54736000000
AGNC,2016-06-30,5.446247727862893,0.0363,,,1131000000,21.922619047619047,116000000,0,,7366000000,336000000,52773000000
AGNC,2016-09-30,4.749464128104905,0.0364,,,1254000000,22.604166666666668,116000000,0,0,7595000000,336000000,47958000000
AGNC,2016-12-31,5.146547036432844,0.0361,,,1208000000,20.892857142857142,116000000,0,0,7020000000,336000000,49524000000
AGNC,2017-03-31,5.399753154141525,0.0367,,,1073000000,20.702380952380953,0,,,6956000000,336000000,49546000000
AGNC,2017-06-30,5.042995480955455,0.037,,,1122000000,22.050595238095237,0,0,,7409000000,336000000,48966000000
AGNC,2017-09-30,5.176316687521329,0.0367,,,1098000000,,0,1238000000,315000000,,,56699000000
AGNC,2017-12-31,5.745487777016221,0.0371,,,1046000000,,0,1238000000,315000000,,,61622000000
AGNC,2018-03-31,5.871431998081075,0.037,,,972000000,,,,0,,,60883000000
AGNC,2018-06-30,5.401349259013492,0.0374,,,863000000,,,788000000,0,,,64096000000
AGNC,2018-09-30,6.828087670094526,0.0382,,,1071000000,,0,1605000000,0,,,82404000000
AGNC,2018-12-31,7.643549364021805,0.0386,,,921000000,19.46694214876033,0,2611000000,0,9422000000,484000000,99335000000
AGNC,2019-03-31,8.254928102085517,0.0388,,,929000000,13.769338959212376,,0,227000000,9790000000,711000000,108306000000
AGNC,2019-06-30,8.338101681809395,0.0388,,,870000000,13.551336146272854,0,190000000,227000000,9635000000,711000000,96230000000
AGNC,2019-09-30,8.872221678253206,0.0376,,,906000000,13.364275668073136,103000000,190000000,227000000,9502000000,711000000,99548000000
AGNC,2019-12-31,8.077348066298342,0.0368,,,831000000,10.84656652360515,103000000,190000000,617000000,10109000000,932000000,102041000000
AGNC,2020-03-31,6.791181873851807,0.0384,,,1289000000,5.58025520483546,0,439000000,557000000,8309000000,1489000000,75339000000
AGNC,2020-06-30,6.7328502415458935,0.0371,,,859000000,5.950973807924782,147000000,439000000,557000000,8861000000,1489000000,79503000000
AGNC,2020-09-30,5.090111940298508,0.0359,,,857000000,6.19946272666219,291000000,439000000,145000000,9231000000,1489000000,69248000000
AGNC,2020-12-31,4.726599873634805,0.0339,,,1017000000,6.440564137004701,378000000,439000000,557000000,9590000000,1489000000,70738000000
AGNC,2021-03-31,4.8447729672650475,0.0323,,,963000000,6.631967763599731,239000000,0,0,9875000000,1489000000,74181000000
AGNC,2021-06-30,4.568522684664417,0.0319,,,947000000,6.164539959704499,239000000,0,0,9179000000,1489000000,64387000000
AGNC,2021-09-30,4.357336829291132,0.0315,,,981000000,6.171927468099396,239000000,0,0,9190000000,1489000000,58126000000
AGNC,2021-12-31,4.60412010494607,0.0308,,,998000000,5.911349899261249,281000000,0,0,8802000000,1489000000,57858000000
AGNC,2022-03-31,5.007278835386338,0.0313,,,1004000000,4.997313633310947,0,0,,7441000000,1489000000,57464000000
AGNC,2022-06-30,5.36728855721393,0.0335,,,906000000,4.399597044996642,51000000,50000000,,6551000000,1489000000,53200000000
