# Quarter-end close prices from Stooq
ticker,period,close
AGNC,2008-06-30,3.69603
AGNC,2008-09-30,3.84719
AGNC,2008-12-31,4.74506
AGNC,2009-03-31,3.80016
AGNC,2009-06-30,5.10146
AGNC,2009-09-30,6.31773
AGNC,2009-12-31,5.8954
AGNC,2010-03-31,5.68649
AGNC,2010-06-30,5.86801
AGNC,2010-09-30,5.90233
AGNC,2010-12-31,6.38302
AGNC,2011-03-31,6.78305
AGNC,2011-06-30,7.11001
AGNC,2011-09-30,6.95183
AGNC,2011-12-31,7.5696
AGNC,2012-03-31,8.29705
AGNC,2012-06-30,9.8061
AGNC,2012-09-30,10.4546
AGNC,2012-12-31,9.14116
AGNC,2013-03-31,10.7773
AGNC,2013-06-30,7.92746
AGNC,2013-09-30,8.04746
AGNC,2013-12-31,7.10603
AGNC,2014-03-31,8.15501
AGNC,2014-06-30,9.13469
AGNC,2014-09-30,8.54312
AGNC,2014-12-31,9.03323
AGNC,2015-03-31,9.09965
AGNC,2015-06-30,8.07771
AGNC,2015-09-30,8.48188
AGNC,2015-12-31,8.13803
AGNC,2016-03-31,9.04246
AGNC,2016-06-30,9.93345
AGNC,2016-09-30,10.0755
AGNC,2016-12-31,9.6153
AGNC,2017-03-31,10.8558
AGNC,2017-06-30,11.9164
AGNC,2017-09-30,12.446
AGNC,2017-12-31,11.9016
AGNC,2018-03-31,11.4755
AGNC,2018-06-30,11.601
AGNC,2018-09-30,11.8491
AGNC,2018-12-31,11.5014
AGNC,2019-03-31,12.1646
AGNC,2019-06-30,11.7015
AGNC,2019-09-30,11.5355
AGNC,2019-12-31,13.0324
AGNC,2020-03-31,8.0325
AGNC,2020-06-30,10.0691
AGNC,2020-09-30,11.1417
AGNC,2020-12-31,12.7992
AGNC,2021-03-31,14.058
AGNC,2021-06-30,14.4557
AGNC,2021-09-30,13.6983
AGNC,2021-12-31,13.3644
AGNC,2022-03-31,11.9514
AGNC,2022-06-30,10.422
AGNC,2022-09-30,8.18999
AGNC,2022-12-31,10.35
AGNC,2023-03-31,10.08
AGNC,2023-06-30,10.13
AGNC,2023-09-30,9.44
AGNC,2023-12-31,9.81
AGNC,2024-03-31,9.9
AGNC,2024-06-30,9.54
AGNC,2024-09-30,10.46
AGNC,2024-12-31,9.21
AGNC,2025-03-31,9.58
AGNC,2025-06-30,9.19
AGNC,2025-09-30,9.79
AGNC,2025-12-31,10.72
AGNC,2026-03-31,9.94
ARR,2007-12-31,55.9971
ARR,2008-03-31,56.9161
ARR,2008-06-30,57.6519
ARR,2008-09-30,56.8039
ARR,2008-12-31,56.734
ARR,2009-03-31,59.1482
