# Book value per common share — sourced from SEC EDGAR XBRL
ticker,period,bvps
TWO,2017-09-30,23.68
TWO,2017-12-31,16.31
TWO,2018-03-31,19.77
TWO,2018-06-30,19.83
TWO,2018-09-30,14.81
TWO,2018-12-31,13.11
TWO,2019-03-31,13.83
TWO,2019-06-30,14.17
TWO,2019-09-30,14.72
TWO,2019-12-31,14.54
TWO,2020-03-31,6.96
TWO,2020-06-30,6.7
TWO,2020-09-30,7.37
TWO,2020-12-31,7.63
TWO,2021-03-31,7.29
TWO,2021-06-30,6.42
TWO,2021-09-30,6.4
TWO,2021-12-31,23.47
TWO,2022-03-31,5.53
TWO,2022-06-30,5.1
TWO,2022-09-30,16.42
TWO,2022-12-31,17.72
TWO,2023-03-31,16.48
TWO,2023-06-30,16.39
TWO,2023-09-30,15.36
TWO,2023-12-31,15.21
TWO,2024-03-31,15.64
TWO,2024-06-30,15.19
TWO,2024-09-30,14.93
TWO,2024-12-31,14.47
TWO,2025-03-31,14.66
TWO,2025-06-30,12.14
TWO,2025-09-30,11.04
TWO,2025-12-31,11.13
IVR,2010-12-31,21.08
IVR,2011-06-30,19.32
IVR,2011-09-30,0.02
IVR,2011-12-31,16.62
IVR,2012-03-31,18.4
IVR,2012-06-30,18.39
IVR,2012-09-30,22.13
IVR,2012-12-31,21.08
IVR,2013-03-31,21.45
IVR,2013-06-30,18.9
IVR,2013-09-30,18.67
IVR,2013-12-31,18.18
IVR,2014-03-31,18.52
IVR,2014-06-30,19.79
IVR,2014-09-30,21.54
IVR,2014-12-31,21.43
IVR,2015-03-31,21.75
IVR,2015-06-30,21
IVR,2015-09-30,20.11
IVR,2015-12-31,19.95
IVR,2016-03-31,19.16
IVR,2016-06-30,19.71
IVR,2016-09-30,20.71
IVR,2016-12-31,20.34
IVR,2017-03-31,20.56
IVR,2017-06-30,20.88
IVR,2017-09-30,23.55
IVR,2017-12-31,23.8
IVR,2018-03-31,22.59
IVR,2018-06-30,22.5
IVR,2018-09-30,22.26
IVR,2018-12-31,20.49
IVR,2019-03-31,20.83
IVR,2019-06-30,20.73
IVR,2019-09-30,20.39
IVR,2019-12-31,20.32
IVR,2020-03-31,8.55
IVR,2020-06-30,6.39
IVR,2020-09-30,6.68
IVR,2020-12-31,6.73
IVR,2021-03-31,6.01
IVR,2021-06-30,4.74
IVR,2021-09-30,4.67
IVR,2021-12-31,42.51
IVR,2022-03-31,3.42
IVR,2022-06-30,29.05
IVR,2022-09-30,21.53
IVR,2022-12-31,20.77
IVR,2023-03-31,20.03
IVR,2023-06-30,18.86
IVR,2023-09-30,16.2
IVR,2023-12-31,16.15
IVR,2024-03-31,16.09
IVR,2024-06-30,14.99
IVR,2024-09-30,14.11
IVR,2024-12-31,8.92
IVR,2025-03-31,8.81
IVR,2025-06-30,8.05
IVR,2025-09-30,8.41
IVR,2025-12-31,8.72
MFA,2009-12-31,7.74
MFA,2010-06-30,7.95
MFA,2010-09-30,8.17
MFA,2010-12-31,8.02
MFA,2011-03-31,8.13
MFA,2011-06-30,7.75
MFA,2011-09-30,7.43
MFA,2011-12-31,6.74
MFA,2012-03-31,7.76
MFA,2012-06-30,7.72
MFA,2012-09-30,8.8
MFA,2012-12-31,8.99
MFA,2013-03-31,9.11
MFA,2013-06-30,8.74
MFA,2013-09-30,8.4
MFA,2013-12-31,8.06
MFA,2014-03-31,8.2
MFA,2014-06-30,8.37
MFA,2014-09-30,8.28
MFA,2014-12-31,8.12
MFA,2015-03-31,8.13
MFA,2015-06-30,7.96
MFA,2015-09-30,7.7
MFA,2015-12-31,7.47
MFA,2016-03-31,7.17
MFA,2016-06-30,7.41
MFA,2016-09-30,7.64
MFA,2016-12-31,7.62
MFA,2017-03-31,7.66
MFA,2017-06-30,7.76
MFA,2017-09-30,7.7
MFA,2017-12-31,7.7
MFA,2018-03-31,7.62
MFA,2018-06-30,7.54
MFA,2018-09-30,7.46
MFA,2018-12-31,7.15
MFA,2019-03-31,7.11
MFA,2019-06-30,7.11
MFA,2019-09-30,7.09
MFA,2019-12-31,7.04
MFA,2020-03-31,4.34
MFA,2020-06-30,4.51
MFA,2020-09-30,4.61
MFA,2020-12-31,4.54
MFA,2021-03-31,4.63
MFA,2021-06-30,4.65
MFA,2021-09-30,4.82
MFA,2021-12-31,19.12
MFA,2022-03-31,17.84
MFA,2022-06-30,16.42
MFA,2022-09-30,15.31
MFA,2022-12-31,14.87
MFA,2023-03-31,15.15
MFA,2023-06-30,14.42
MFA,2023-09-30,13.48
MFA,2023-12-31,13.98
MFA,2024-03-31,13.8
MFA,2024-06-30,13.8
MFA,2024-09-30,13.77
MFA,2024-12-31,13.39
MFA,2025-03-31,13.28
MFA,2025-06-30,13.12
MFA,2025-09-30,13.13
MFA,2025-12-31,13.2
ADAM,2010-12-31,0.01
ADAM,2011-06-30,8.62
ADAM,2011-09-30,6.75
ADAM,2011-12-31,6.19
ADAM,2012-03-31,6.49
ADAM,2012-06-30,6.51
ADAM,2012-09-30,6.52
ADAM,2012-12-31,6.5
ADAM,2013-03-31,6.57
ADAM,2013-06-30,7.42
ADAM,2013-09-30,7.49
ADAM,2013-12-31,7.5
ADAM,2014-03-31,7.47
ADAM,2014-06-30,7.66
ADAM,2014-09-30,7.81
ADAM,2014-12-31,7.78
ADAM,2015-03-31,7.72
ADAM,2015-06-30,8.33
ADAM,2015-09-30,8.32
ADAM,2015-12-31,8.05
ADAM,2016-03-31,8
ADAM,2016-06-30,7.9
ADAM,2016-09-30,7.85
ADAM,2016-12-31,7.78
ADAM,2017-03-31,7.56
ADAM,2017-06-30,7.49
ADAM,2017-09-30,7.53
ADAM,2017-12-31,8.72
ADAM,2018-03-31,8.48
ADAM,2018-06-30,8.17
ADAM,2018-09-30,7.85
ADAM,2018-12-31,5.66
ADAM,2019-03-31,7.34
ADAM,2019-06-30,7.24
ADAM,2019-09-30,7.03
ADAM,2019-12-31,5.78
ADAM,2020-03-31,5.3
ADAM,2020-06-30,5.73
ADAM,2020-09-30,5.97
ADAM,2020-12-31,4.73
ADAM,2021-03-31,6.1
ADAM,2021-06-30,6.13
ADAM,2021-09-30,6.23
ADAM,2021-12-31,6.23
ADAM,2022-03-31,5.9
ADAM,2022-06-30,5.62
ADAM,2022-09-30,5.24
ADAM,2022-12-31,19.74
ADAM,2023-03-31,19.4
ADAM,2023-06-30,18.84
ADAM,2023-09-30,17.59
ADAM,2023-12-31,17.65
ADAM,2024-03-31,16.43
ADAM,2024-06-30,15.91
ADAM,2024-09-30,16.01
ADAM,2024-12-31,15.4
ADAM,2025-03-31,15.52
ADAM,2025-06-30,15.32
ADAM,2025-09-30,15.4
ADAM,2025-12-31,15.8
CMTG,2020-12-31,19.76
CMTG,2021-09-30,19.08
CMTG,2021-12-31,18.62
CMTG,2022-03-31,18.47
CMTG,2022-06-30,18.55
CMTG,2022-09-30,18.24
CMTG,2022-12-31,17.75
CMTG,2023-03-31,17.66
CMTG,2023-06-30,17.35
CMTG,2023-09-30,16.56
CMTG,2023-12-31,16.58
CMTG,2024-03-31,15.97
CMTG,2024-06-30,15.63
CMTG,2024-09-30,15.1
CMTG,2024-12-31,14.41
CMTG,2025-03-31,13.88
CMTG,2025-06-30,12.57
CMTG,2025-09-30,12.47
CMTG,2025-12-31,10.93
REFI,2021-12-31,15.13
REFI,2022-03-31,15.17
REFI,2022-06-30,15.13
REFI,2022-09-30,15.23
REFI,2022-12-31,14.93
REFI,2023-03-31,14.95
REFI,2023-06-30,15.06
REFI,2023-09-30,15.17
REFI,2023-12-31,14.94
REFI,2024-03-31,15.71
REFI,2024-06-30,14.92
REFI,2024-09-30,15.05
REFI,2024-12-31,14.83
REFI,2025-03-31,14.87
REFI,2025-06-30,14.71
REFI,2025-09-30,14.71
REFI,2025-12-31,14.6
MITT,2011-04-01,10
MITT,2011-09-30,20.73
MITT,2011-12-31,20.61
MITT,2012-03-31,19.68
MITT,2012-06-30,21.83
MITT,2012-09-30,30.79
MITT,2012-12-31,29.47
MITT,2013-03-31,29.03
MITT,2013-06-30,25.47
MITT,2013-09-30,24.96
MITT,2013-12-31,24.83
MITT,2014-03-31,25.21
MITT,2014-06-30,25.94
MITT,2014-09-30,26.01
MITT,2014-12-31,25.81
MITT,2015-03-31,25.54
MITT,2015-06-30,24.89
MITT,2015-09-30,24.14
MITT,2015-12-31,23.58
MITT,2016-03-31,22.94
MITT,2016-06-30,23.21
MITT,2016-09-30,24.31
MITT,2016-12-31,23.68
MITT,2017-03-31,23.99
MITT,2017-06-30,24.57
MITT,2017-09-30,25.07
MITT,2017-12-31,25.33
MITT,2018-03-31,25.03
MITT,2018-06-30,24.7
MITT,2018-09-30,24.77
MITT,2018-12-31,22.82
MITT,2019-03-31,22.37
MITT,2019-06-30,22.34
MITT,2019-09-30,25.48
MITT,2019-12-31,25.93
MITT,2020-03-31,10.95
MITT,2020-06-30,10.8
MITT,2020-09-30,10.81
MITT,2020-12-31,11.81
MITT,2021-03-31,4.89
MITT,2021-06-30,14.72
MITT,2021-09-30,16.45
MITT,2021-12-31,14.32
MITT,2022-03-31,13.37
MITT,2022-06-30,11.15
MITT,2022-09-30,10.68
MITT,2022-12-31,11.03
MITT,2023-03-31,11.48
MITT,2023-06-30,11.52
MITT,2023-09-30,11
MITT,2023-12-31,10.2
MITT,2024-03-31,10.58
MITT,2024-06-30,10.37
MITT,2024-09-30,10.58
MITT,2024-12-31,10.64
MITT,2025-03-31,10.65
MITT,2025-06-30,10.39
MITT,2025-09-30,10.46
MITT,2025-12-31,10.48
NLY,2008-12-31,13.27
NLY,2009-06-30,15.92
NLY,2009-09-30,16.84
NLY,2009-12-31,17.27
NLY,2010-03-31,17.12
NLY,2010-06-30,17.21
NLY,2010-09-30,15.45
NLY,2010-12-31,15.56
NLY,2011-03-31,15.98
NLY,2011-06-30,16.76
NLY,2011-09-30,16.4
NLY,2011-12-31,16.21
NLY,2012-03-31,16.36
NLY,2012-06-30,16.71
NLY,2012-09-30,17.53
NLY,2012-12-31,16.81
NLY,2013-03-31,16.16
NLY,2013-06-30,14
NLY,2013-09-30,13.67
NLY,2013-12-31,13.09
NLY,2014-03-31,13.26
NLY,2014-06-30,14.19
NLY,2014-09-30,13.84
NLY,2014-12-31,14.07
NLY,2015-03-31,13.85
NLY,2015-06-30,13.29
NLY,2015-09-30,12.96
NLY,2015-12-31,12.72
NLY,2016-03-31,12.61
NLY,2016-06-30,12.5
NLY,2016-09-30,13.02
NLY,2016-12-31,12.34
NLY,2017-03-31,12.41
NLY,2017-06-30,12.37
NLY,2017-09-30,13.01
NLY,2017-12-31,12.82
NLY,2018-03-31,12.02
NLY,2018-06-30,11.83
NLY,2018-09-30,11.48
NLY,2018-12-31,10.75
NLY,2019-03-31,10.9
NLY,2019-06-30,10.79
NLY,2019-09-30,10.59
NLY,2019-12-31,11.05
NLY,2020-03-31,8.88
NLY,2020-06-30,9.8
NLY,2020-09-30,10.12
NLY,2020-12-31,10.03
NLY,2021-03-31,10.06
NLY,2021-06-30,9.44
NLY,2021-09-30,9.46
NLY,2021-12-31,36.16
NLY,2022-03-31,7.86
NLY,2022-06-30,6.89
NLY,2022-09-30,23.41
NLY,2022-12-31,24.28
NLY,2023-03-31,24.11
NLY,2023-06-30,24.07
NLY,2023-09-30,21.58
NLY,2023-12-31,22.69
NLY,2024-03-31,22.97
NLY,2024-06-30,22.48
NLY,2024-09-30,22.47
NLY,2024-12-31,21.8
NLY,2025-03-31,21.57
NLY,2025-06-30,20.84
NLY,2025-09-30,21.89
NLY,2025-12-31,22.76
