# Book value per common share — sourced from SEC EDGAR XBRL
ticker,period,bvps
AGNC,2011-03-31,25.96
AGNC,2011-06-30,51.18
AGNC,2011-12-31,27.71
AGNC,2012-03-31,29.06
AGNC,2012-06-30,29.97
AGNC,2012-09-30,33
AGNC,2012-12-31,32.15
AGNC,2013-03-31,29.36
AGNC,2013-06-30,25.95
AGNC,2013-09-30,25.72
AGNC,2013-12-31,24.42
AGNC,2014-03-31,24.98
AGNC,2014-06-30,27.24
AGNC,2014-09-30,26.52
AGNC,2014-12-31,25.74
AGNC,2015-03-31,26.52
AGNC,2015-06-30,24.99
AGNC,2015-09-30,22
AGNC,2015-12-31,22.59
AGNC,2016-03-31,22.09
AGNC,2016-06-30,22.22
AGNC,2016-09-30,22.91
AGNC,2016-12-31,21.17
AGNC,2017-03-31,20.98
AGNC,2017-06-30,20.8
AGNC,2017-09-30,22.47
AGNC,2017-12-31,22.37
AGNC,2018-03-31,21.31
AGNC,2018-06-30,20.83
AGNC,2018-09-30,20.15
AGNC,2018-12-31,17.54
AGNC,2019-03-31,18.21
AGNC,2019-06-30,17.54
AGNC,2019-09-30,17.52
AGNC,2019-12-31,18.63
AGNC,2020-03-31,14.55
AGNC,2020-12-31,17.68
AGNC,2021-03-31,18.72
AGNC,2021-06-30,17.39
AGNC,2021-09-30,17.41
AGNC,2021-12-31,16.76
AGNC,2022-03-31,14.13
AGNC,2022-06-30,12.44
AGNC,2022-09-30,10.04
AGNC,2022-12-31,10.76
AGNC,2023-03-31,10.3
AGNC,2023-06-30,10.26
AGNC,2023-09-30,8.89
AGNC,2023-12-31,9.46
AGNC,2024-03-31,9.57
AGNC,2024-06-30,9.09
AGNC,2024-09-30,9.44
AGNC,2024-12-31,9
AGNC,2025-03-31,8.8
AGNC,2025-06-30,8.31
AGNC,2025-09-30,8.77
AGNC,2025-12-31,9.35
ARR,2010-12-31,6.61
ARR,2011-06-30,7.14
ARR,2011-09-30,6.78
ARR,2011-12-31,6.57
ARR,2012-03-31,6.79
ARR,2012-06-30,7.22
ARR,2012-09-30,7.91
ARR,2012-12-31,7.47
ARR,2013-03-31,7.24
ARR,2013-06-30,5.98
ARR,2013-09-30,5.81
ARR,2013-12-31,5.32
ARR,2014-03-31,5.23
ARR,2014-06-30,5.46
ARR,2014-09-30,5.14
ARR,2014-12-31,39.63
ARR,2015-03-31,4.71
ARR,2015-06-30,4.53
ARR,2015-09-30,33.77
ARR,2015-12-31,33.4
ARR,2016-03-31,29.86
ARR,2016-06-30,31.05
ARR,2016-09-30,33.24
ARR,2016-12-31,29.74
ARR,2017-03-31,30.96
ARR,2017-06-30,31.16
ARR,2017-09-30,31.58
ARR,2017-12-31,31.67
ARR,2018-03-31,29.71
ARR,2018-06-30,28.78
ARR,2018-09-30,28.54
ARR,2018-12-31,25.75
ARR,2019-03-31,24.86
ARR,2019-06-30,23.25
ARR,2019-09-30,23.48
ARR,2019-12-31,24.4
ARR,2020-03-31,13.35
ARR,2020-06-30,13.16
ARR,2020-09-30,13.78
ARR,2020-12-31,14.37
ARR,2021-03-31,14.73
ARR,2021-06-30,13.34
ARR,2021-09-30,13.04
ARR,2021-12-31,12.15
ARR,2022-03-31,10.18
ARR,2022-06-30,8.8
ARR,2022-09-30,7.12
ARR,2022-12-31,34.14
ARR,2023-03-31,6.33
ARR,2023-06-30,6.2
ARR,2023-09-30,25.23
ARR,2023-12-31,22.54
ARR,2024-03-31,25.58
ARR,2024-06-30,23.81
ARR,2024-09-30,23.86
ARR,2024-12-31,19.07
ARR,2025-03-31,20.67
ARR,2025-06-30,18.85
ARR,2025-09-30,19.02
ARR,2025-12-31,18.63
DX,2010-12-31,9.64
DX,2011-06-30,9.59
DX,2011-09-30,9.15
DX,2011-12-31,9.2
DX,2012-03-31,9.62
DX,2012-06-30,9.66
DX,2012-09-30,11.37
DX,2012-12-31,10.29
DX,2013-03-31,10.48
DX,2013-06-30,11.01
DX,2013-09-30,10.68
DX,2013-12-31,10.79
DX,2014-03-31,10.95
DX,2014-06-30,11.2
DX,2014-09-30,11.22
DX,2014-12-31,11.09
DX,2015-03-31,11.03
DX,2015-06-30,10.64
DX,2015-09-30,10.44
DX,2015-12-31,7.71
DX,2016-03-31,9.85
DX,2016-06-30,10
DX,2016-09-30,10.07
DX,2016-12-31,7.18
DX,2017-03-31,7.52
DX,2017-06-30,7.38
DX,2017-09-30,7.46
DX,2017-12-31,7.34
DX,2018-03-31,7.07
DX,2018-06-30,6.93
DX,2018-09-30,6.75
DX,2018-12-31,18.07
DX,2019-03-31,6.24
DX,2019-06-30,17.68
DX,2019-09-30,18.07
DX,2019-12-31,18.01
DX,2020-03-31,16.07
DX,2020-06-30,16.69
DX,2020-09-30,18.25
DX,2020-12-31,19.08
DX,2021-03-31,20.07
DX,2021-06-30,18.75
DX,2021-09-30,18.42
DX,2021-12-31,17.99
DX,2022-03-31,18.24
DX,2022-06-30,16.79
DX,2022-09-30,14.23
DX,2022-12-31,14.73
DX,2023-03-31,13.8
DX,2023-06-30,14.2
DX,2023-09-30,12.25
DX,2023-12-31,13.31
DX,2024-03-31,13.2
DX,2024-06-30,12.5
DX,2024-09-30,13
DX,2024-12-31,12.7
DX,2025-03-31,12.56
DX,2025-06-30,11.95
DX,2025-09-30,12.67
DX,2025-12-31,13.45
TWO,2010-12-31,9.44
TWO,2011-06-30,9.73
TWO,2011-09-30,9.3
TWO,2011-12-31,9.03
TWO,2012-06-30,10.19
TWO,2012-09-30,11.48
TWO,2012-12-31,11.55
TWO,2013-03-31,11.23
TWO,2013-06-30,10.48
TWO,2013-09-30,10.36
TWO,2013-12-31,10.56
TWO,2014-03-31,10.71
TWO,2014-06-30,11.09
TWO,2014-09-30,11.25
TWO,2014-12-31,22.21
TWO,2015-03-31,11.08
TWO,2015-06-30,10.81
TWO,2015-09-30,10.3
TWO,2015-12-31,20.21
TWO,2016-03-31,9.7
TWO,2016-06-30,9.83
TWO,2016-09-30,10.01
TWO,2016-12-31,19.57
TWO,2017-03-31,19.83
TWO,2017-06-30,10.43
